,product_code,product_label,2016,2017,2018,2019,2020,importer,exporter
0,01,Live animals,0,0,0,0,,Afghanistan,Africa not elsewhere specified
1,02,Meat and edible meat offal,0,0,0,0,,Afghanistan,Africa not elsewhere specified
2,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,0,0,0,,Afghanistan,Africa not elsewhere specified
3,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
4,05,"Products of animal origin, not elsewhere specified or included",0,0,0,0,,Afghanistan,Africa not elsewhere specified
5,06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",0,0,0,0,,Afghanistan,Africa not elsewhere specified
6,07,Edible vegetables and certain roots and tubers,0,0,0,0,,Afghanistan,Africa not elsewhere specified
7,08,Edible fruit and nuts; peel of citrus fruit or melons,0,0,0,0,,Afghanistan,Africa not elsewhere specified
8,09,"Coffee, tea, maté and spices",0,0,0,0,,Afghanistan,Africa not elsewhere specified
9,10,Cereals,0,0,0,0,,Afghanistan,Africa not elsewhere specified
10,11,Products of the milling industry; malt; starches; inulin; wheat gluten,0,0,0,0,,Afghanistan,Africa not elsewhere specified
11,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
12,13,"Lac; gums, resins and other vegetable saps and extracts",0,0,0,0,,Afghanistan,Africa not elsewhere specified
13,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,0,0,0,0,,Afghanistan,Africa not elsewhere specified
14,15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal . . .,0,0,0,0,,Afghanistan,Africa not elsewhere specified
15,16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",0,0,0,0,,Afghanistan,Africa not elsewhere specified
16,17,Sugars and sugar confectionery,0,0,0,0,,Afghanistan,Africa not elsewhere specified
17,18,Cocoa and cocoa preparations,0,0,0,0,,Afghanistan,Africa not elsewhere specified
18,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",0,0,0,0,,Afghanistan,Africa not elsewhere specified
19,20,"Preparations of vegetables, fruit, nuts or other parts of plants",0,0,0,0,,Afghanistan,Africa not elsewhere specified
20,21,Miscellaneous edible preparations,0,0,0,0,,Afghanistan,Africa not elsewhere specified
21,22,"Beverages, spirits and vinegar",0,0,0,0,,Afghanistan,Africa not elsewhere specified
22,23,Residues and waste from the food industries; prepared animal fodder,0,0,0,0,,Afghanistan,Africa not elsewhere specified
23,24,Tobacco and manufactured tobacco substitutes,0,0,0,0,,Afghanistan,Africa not elsewhere specified
24,25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",0,0,0,0,,Afghanistan,Africa not elsewhere specified
25,26,"Ores, slag and ash",0,0,0,0,,Afghanistan,Africa not elsewhere specified
26,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
27,28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
28,29,Organic chemicals,0,0,0,0,,Afghanistan,Africa not elsewhere specified
29,30,Pharmaceutical products,0,0,0,0,,Afghanistan,Africa not elsewhere specified
30,31,Fertilisers,0,0,0,0,,Afghanistan,Africa not elsewhere specified
31,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
32,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0,0,0,0,,Afghanistan,Africa not elsewhere specified
33,34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
34,35,Albuminoidal substances; modified starches; glues; enzymes,0,0,0,0,,Afghanistan,Africa not elsewhere specified
35,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,0,0,0,0,,Afghanistan,Africa not elsewhere specified
36,37,Photographic or cinematographic goods,0,0,0,0,,Afghanistan,Africa not elsewhere specified
37,38,Miscellaneous chemical products,0,0,0,0,,Afghanistan,Africa not elsewhere specified
38,39,Plastics and articles thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
39,40,Rubber and articles thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
40,41,Raw hides and skins (other than furskins) and leather,0,0,0,0,,Afghanistan,Africa not elsewhere specified
41,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
42,43,Furskins and artificial fur; manufactures thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
43,44,Wood and articles of wood; wood charcoal,0,0,0,0,,Afghanistan,Africa not elsewhere specified
44,45,Cork and articles of cork,0,0,0,0,,Afghanistan,Africa not elsewhere specified
45,46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",0,0,0,0,,Afghanistan,Africa not elsewhere specified
46,47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or . . .,0,0,0,0,,Afghanistan,Africa not elsewhere specified
47,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",0,0,0,0,,Afghanistan,Africa not elsewhere specified
48,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
49,50,Silk,0,0,0,0,,Afghanistan,Africa not elsewhere specified
